                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4573,                 2.2048,                 1.6212,                 0.4816,                0.35097,                0.35419,                0.16187,                 2.3055,                 2.0137,                 1.5792,              0.0033326,              0.0033326,              0.0033326
                      2,                 2.2715,                 1.8397,                   1.49,                0.56135,                0.37082,                0.37951,                0.17653,                 2.2342,                 1.9313,                 1.5481,               0.006644,               0.006644,               0.006644
                      3,                 2.2592,                 1.8236,                 1.4885,                0.58409,                0.37287,                0.38918,                0.17899,                 2.2043,                 1.9046,                 1.5335,              0.0099333,              0.0099333,              0.0099333
                      4,                 2.2332,                 1.7915,                 1.4804,                0.61572,                0.39349,                0.41112,                0.19896,                  2.122,                 1.8179,                 1.4947,               0.009901,               0.009901,               0.009901
                      5,                 2.1678,                 1.7196,                 1.4515,                0.59902,                0.42844,                0.44443,                 0.2195,                 2.0391,                 1.7289,                 1.4677,               0.009901,               0.009901,               0.009901
                      6,                 2.1088,                 1.6517,                 1.4285,                0.63195,                0.43419,                0.47051,                0.24057,                 1.9713,                 1.6625,                 1.4337,               0.009868,               0.009868,               0.009868
                      7,                 2.0568,                 1.5999,                 1.4038,                0.65882,                0.44722,                0.49195,                0.25818,                 1.8985,                 1.6004,                 1.4023,               0.009835,               0.009835,               0.009835
                      8,                  2.011,                 1.5497,                  1.386,                0.67214,                0.46496,                0.51367,                0.28009,                 1.8292,                 1.5346,                 1.3735,               0.009802,               0.009802,               0.009802
                      9,                 1.9662,                 1.5094,                 1.3664,                 0.6873,                0.47464,                0.53886,                0.30306,                 1.7688,                 1.4824,                 1.3467,               0.009769,               0.009769,               0.009769
                     10,                 1.9268,                  1.467,                 1.3493,                0.69555,                0.49145,                0.56152,                0.32376,                 1.7149,                 1.4317,                 1.3224,               0.009736,               0.009736,               0.009736
                     11,                  1.891,                 1.4271,                 1.3324,                0.70352,                0.50837,                 0.5794,                0.34343,                 1.6715,                 1.3889,                 1.3026,               0.009703,               0.009703,               0.009703
                     12,                 1.8575,                 1.3973,                 1.3196,                 0.7138,                0.52236,                 0.5992,                0.36093,                 1.6335,                 1.3518,                 1.2846,                0.00967,                0.00967,                0.00967
                     13,                 1.8266,                 1.3663,                  1.307,                0.73512,                0.53716,                0.61842,                0.37738,                 1.5997,                 1.3165,                 1.2688,               0.009637,               0.009637,               0.009637
                     14,                 1.7972,                 1.3381,                 1.2949,                0.74388,                0.54582,                0.63375,                0.39186,                 1.5703,                 1.2873,                 1.2557,               0.009604,               0.009604,               0.009604
                     15,                   1.77,                 1.3095,                 1.2829,                0.74722,                0.55901,                0.64373,                0.40288,                  1.545,                 1.2625,                 1.2444,               0.009571,               0.009571,               0.009571
                     16,                 1.7467,                 1.2844,                 1.2711,                0.75332,                0.56766,                0.65351,                0.41289,                 1.5225,                 1.2409,                 1.2349,               0.009538,               0.009538,               0.009538
                     17,                 1.7255,                  1.264,                 1.2625,                0.74453,                 0.5414,                0.61802,                0.39682,                 1.5043,                  1.223,                 1.2265,               0.009505,               0.009505,               0.009505
                     18,                 1.7051,                 1.2432,                 1.2532,                 0.7547,                0.58032,                 0.6682,                0.42861,                 1.4892,                 1.2077,                 1.2193,               0.009472,               0.009472,               0.009472
                     19,                 1.6883,                 1.2253,                 1.2448,                  0.761,                0.58336,                0.67375,                0.43494,                 1.4757,                 1.1945,                  1.213,               0.009439,               0.009439,               0.009439
                     20,                 1.6699,                 1.2095,                 1.2382,                0.76116,                 0.5903,                  0.679,                0.44067,                 1.4642,                 1.1825,                 1.2076,               0.009406,               0.009406,               0.009406
                     21,                 1.6517,                 1.1906,                 1.2289,                0.76623,                0.59186,                0.68325,                0.44565,                 1.4533,                 1.1713,                 1.2026,               0.009373,               0.009373,               0.009373
                     22,                  1.637,                 1.1761,                 1.2231,                0.76249,                0.59899,                0.68825,                0.45074,                 1.4433,                 1.1611,                 1.1981,                0.00934,                0.00934,                0.00934
                     23,                 1.6247,                 1.1648,                 1.2186,                0.76722,                0.60139,                0.69222,                0.45526,                 1.4343,                 1.1509,                 1.1939,               0.009307,               0.009307,               0.009307
                     24,                 1.6111,                 1.1506,                 1.2114,                0.76603,                0.60616,                0.69673,                0.45981,                 1.4254,                 1.1415,                 1.1899,               0.009274,               0.009274,               0.009274
                     25,                 1.6015,                   1.14,                 1.2092,                0.76867,                0.61117,                0.70147,                0.46461,                 1.4164,                  1.132,                 1.1858,               0.009241,               0.009241,               0.009241
                     26,                   1.59,                 1.1285,                 1.2033,                0.77213,                0.61558,                0.70562,                0.46901,                 1.4075,                 1.1227,                 1.1817,               0.009208,               0.009208,               0.009208
                     27,                 1.5766,                 1.1143,                 1.1951,                0.77631,                0.61983,                0.70935,                 0.4739,                 1.3991,                 1.1135,                 1.1779,               0.009175,               0.009175,               0.009175
                     28,                 1.5638,                 1.1044,                 1.1908,                0.78422,                0.62205,                 0.7136,                 0.4785,                 1.3904,                 1.1045,                 1.1738,               0.009142,               0.009142,               0.009142
                     29,                  1.557,                 1.0955,                 1.1886,                 0.7847,                0.62628,                0.71754,                0.48278,                 1.3819,                 1.0951,                 1.1701,               0.009109,               0.009109,               0.009109
                     30,                 1.5473,                 1.0858,                  1.185,                0.78584,                0.63094,                0.72242,                0.48737,                  1.373,                 1.0855,                  1.166,               0.009076,               0.009076,               0.009076
                     31,                 1.5415,                 1.0808,                 1.1816,                0.79041,                0.63352,                0.72705,                0.49195,                  1.364,                 1.0758,                 1.1622,               0.009043,               0.009043,               0.009043
                     32,                 1.5339,                 1.0695,                 1.1787,                0.78597,                0.64399,                0.73149,                0.49646,                  1.355,                 1.0659,                 1.1582,                0.00901,                0.00901,                0.00901
                     33,                 1.5219,                 1.0606,                 1.1737,                0.79029,                0.64714,                0.73589,                0.50092,                 1.3462,                 1.0566,                 1.1543,               0.008977,               0.008977,               0.008977
                     34,                 1.5156,                 1.0518,                 1.1701,                0.80226,                0.64837,                 0.7406,                0.50602,                  1.337,                 1.0466,                 1.1502,               0.008944,               0.008944,               0.008944
                     35,                 1.5088,                 1.0464,                 1.1684,                 0.8053,                0.65252,                0.74488,                  0.511,                 1.3281,                 1.0369,                 1.1462,               0.008911,               0.008911,               0.008911
                     36,                 1.5024,                 1.0385,                 1.1639,                 0.8078,                0.65564,                0.74878,                 0.5159,                 1.3197,                 1.0272,                 1.1424,               0.008878,               0.008878,               0.008878
                     37,                 1.4939,                 1.0296,                 1.1579,                0.80853,                0.66083,                0.75314,                0.52018,                 1.3111,                 1.0178,                 1.1386,               0.008845,               0.008845,               0.008845
                     38,                 1.4897,                 1.0278,                 1.1575,                0.81083,                0.66443,                0.75721,                0.52489,                 1.3026,                 1.0081,                 1.1346,               0.008812,               0.008812,               0.008812
                     39,                 1.4851,                 1.0224,                 1.1567,                0.81146,                0.66985,                0.76152,                0.52933,                 1.2942,                0.99885,                 1.1309,               0.008779,               0.008779,               0.008779
                     40,                 1.4765,                  1.014,                 1.1522,                0.81437,                0.67152,                 0.7654,                0.53387,                 1.2861,                0.98959,                 1.1272,               0.008746,               0.008746,               0.008746
                     41,                 1.4713,                 1.0084,                 1.1512,                0.82184,                0.67268,                0.76949,                0.53821,                 1.2775,                0.98034,                 1.1233,               0.008713,               0.008713,               0.008713
                     42,                 1.4644,                0.99997,                  1.149,                0.82414,                0.67641,                 0.7731,                0.54215,                 1.2694,                0.97091,                 1.1197,                0.00868,                0.00868,                0.00868
                     43,                 1.4583,                0.99492,                 1.1453,                0.82643,                 0.6804,                0.77719,                0.54676,                 1.2614,                0.96172,                 1.1161,               0.008647,               0.008647,               0.008647
                     44,                 1.4563,                0.99305,                 1.1442,                0.82974,                0.68321,                0.78072,                0.55099,                 1.2537,                0.95271,                 1.1128,               0.008614,               0.008614,               0.008614
                     45,                 1.4471,                0.98553,                 1.1376,                0.83178,                0.68741,                0.78476,                0.55458,                 1.2459,                0.94405,                 1.1093,               0.008581,               0.008581,               0.008581
                     46,                 1.4454,                0.98162,                  1.139,                0.83188,                0.69395,                0.78805,                0.55798,                 1.2387,                0.93552,                 1.1059,               0.008548,               0.008548,               0.008548
                     47,                 1.4382,                0.97646,                 1.1359,                0.83517,                0.69633,                0.79204,                0.56226,                 1.2317,                0.92703,                 1.1026,               0.008515,               0.008515,               0.008515
                     48,                 1.4355,                0.97253,                 1.1341,                0.83512,                0.70033,                0.79496,                0.56568,                 1.2249,                0.91866,                 1.0994,               0.008482,               0.008482,               0.008482
                     49,                 1.4316,                0.96866,                 1.1335,                 0.8386,                0.70402,                 0.7977,                0.56911,                 1.2181,                0.91041,                 1.0962,               0.008449,               0.008449,               0.008449
                     50,                 1.4282,                0.96404,                 1.1332,                0.83666,                 0.7079,                 0.8011,                0.57329,                 1.2111,                0.90241,                 1.0932,               0.008416,               0.008416,               0.008416
                     51,                 1.4215,                0.95747,                 1.1306,                0.83996,                0.71038,                 0.8036,                0.57715,                 1.2038,                0.89427,                 1.0899,               0.008383,               0.008383,               0.008383
                     52,                 1.4194,                0.95339,                 1.1278,                 0.8444,                0.71273,                0.80646,                0.58079,                  1.197,                0.88652,                 1.0869,                0.00835,                0.00835,                0.00835
                     53,                 1.4184,                0.95134,                 1.1265,                 0.8437,                0.71524,                0.80917,                0.58385,                 1.1908,                  0.879,                 1.0841,               0.008317,               0.008317,               0.008317
                     54,                 1.4081,                 0.9421,                 1.1223,                0.84251,                 0.7204,                 0.8121,                0.58695,                  1.185,                0.87173,                 1.0815,               0.008284,               0.008284,               0.008284
                     55,                 1.4077,                0.94293,                  1.125,                0.84531,                 0.7233,                0.81481,                0.58989,                 1.1795,                0.86524,                 1.0789,               0.008251,               0.008251,               0.008251
                     56,                 1.4061,                0.94243,                 1.1232,                0.84911,                0.72631,                0.81731,                0.59305,                 1.1741,                 0.8583,                 1.0763,               0.008218,               0.008218,               0.008218
                     57,                 1.3994,                0.93553,                 1.1197,                0.85223,                0.72689,                0.81881,                0.59567,                 1.1688,                0.85207,                 1.0738,               0.008185,               0.008185,               0.008185
                     58,                 1.3926,                0.92846,                 1.1168,                0.85312,                0.72963,                0.82122,                0.59824,                 1.1637,                0.84553,                 1.0713,               0.008152,               0.008152,               0.008152
                     59,                 1.3915,                0.92677,                 1.1175,                0.85031,                0.73459,                0.82411,                0.60169,                  1.159,                 0.8392,                  1.069,               0.008119,               0.008119,               0.008119
                     60,                   1.39,                0.92562,                 1.1161,                0.85281,                0.73611,                0.82641,                0.60469,                 1.1543,                0.83296,                 1.0668,               0.008086,               0.008086,               0.008086
                     61,                  1.384,                0.92036,                 1.1135,                0.85608,                0.73849,                0.82881,                0.60693,                   1.15,                0.82683,                 1.0647,               0.008053,               0.008053,               0.008053
                     62,                 1.3832,                0.91912,                  1.112,                0.85829,                0.73931,                0.83042,                0.60964,                 1.1457,                0.82117,                 1.0626,                0.00802,                0.00802,                0.00802
                     63,                 1.3793,                0.91384,                 1.1088,                0.86192,                0.74195,                0.83237,                0.61166,                 1.1417,                0.81539,                 1.0607,               0.007987,               0.007987,               0.007987
                     64,                 1.3762,                0.91085,                 1.1094,                0.86019,                0.74571,                0.83397,                0.61411,                  1.138,                0.81002,                 1.0588,               0.007954,               0.007954,               0.007954
                     65,                 1.3759,                0.91165,                 1.1105,                0.86184,                0.74769,                0.83578,                0.61586,                 1.1342,                  0.805,                 1.0569,               0.007921,               0.007921,               0.007921
                     66,                 1.3699,                0.90635,                 1.1078,                0.86322,                0.74839,                0.83754,                0.61793,                 1.1309,                0.79994,                 1.0553,               0.007888,               0.007888,               0.007888
                     67,                 1.3679,                0.90263,                 1.1064,                0.86326,                0.75215,                0.83921,                0.61959,                 1.1278,                0.79502,                 1.0537,               0.007855,               0.007855,               0.007855
                     68,                 1.3625,                0.89897,                 1.1037,                0.86239,                0.75408,                0.84124,                0.62228,                 1.1241,                0.79029,                 1.0519,               0.007822,               0.007822,               0.007822
                     69,                 1.3642,                0.90036,                 1.1045,                0.86607,                0.75336,                0.84296,                0.62437,                 1.1209,                0.78554,                 1.0503,               0.007789,               0.007789,               0.007789
                     70,                 1.3595,                0.89724,                 1.1026,                0.87022,                0.75509,                 0.8447,                0.62623,                 1.1178,                0.78102,                 1.0486,               0.007756,               0.007756,               0.007756
                     71,                 1.3566,                0.89306,                 1.1015,                0.87115,                0.75661,                0.84662,                0.62874,                 1.1126,                 0.7759,                 1.0467,               0.007723,               0.007723,               0.007723
                     72,                 1.3519,                0.88695,                 1.0988,                0.87402,                0.75675,                0.84817,                0.63056,                   1.11,                0.77142,                 1.0452,                0.00769,                0.00769,                0.00769
                     73,                 1.3493,                0.88587,                 1.0984,                0.87326,                0.75918,                0.84898,                0.63244,                 1.1076,                0.76726,                 1.0438,               0.007657,               0.007657,               0.007657
                     74,                 1.3474,                0.88452,                 1.0997,                0.87179,                0.76087,                0.85061,                0.63367,                 1.1047,                0.76335,                 1.0423,               0.007624,               0.007624,               0.007624
                     75,                 1.3435,                0.88122,                 1.0972,                0.87376,                0.76248,                0.85179,                0.63539,                 1.1018,                0.75946,                 1.0408,               0.007591,               0.007591,               0.007591
                     76,                 1.3399,                0.88032,                 1.0949,                0.87553,                0.76545,                 0.8536,                0.63726,                 1.0996,                0.75582,                 1.0396,               0.007558,               0.007558,               0.007558
                     77,                 1.3407,                0.87896,                 1.0956,                0.87575,                0.76841,                0.85492,                0.63867,                 1.0974,                0.75216,                 1.0385,               0.007525,               0.007525,               0.007525
